hesabına	hesap+Noun+A3sg+P3sg+Dat
aramanın	ara+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Gen
bulunabilmesi	bulun+Verb+Pos^DB+Verb+Able^DB+Noun+Inf2+A3sg+P3sg+Nom
sayfasından	sayfa+Noun+A3sg+P3sg+Abl
sonuçlarınızda	sonuç+Noun+A3pl+P2pl+Loc
dizine	dizin+Noun+A3sg+Pnon+Dat
işlemlerinden	işlem+Noun+A3pl+P3sg+Abl
eklenme	ekle+Verb^DB+Verb+Pass+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom
ettiğinden	et+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Abl
sonuçlarında	sonuç+Noun+A3pl+P3sg+Loc
görüntülenemeyebileceğini	görüntüle+Verb^DB+Verb+Pass^DB+Verb+Able+Neg^DB+Verb+Able^DB+Noun+FutPart+A3sg+P3sg+Acc
anlama	anlam+Noun+A3sg+Pnon+Dat
sertifikasının	sertifika+Noun+A3sg+P3sg+Gen
profilinde	profil+Noun+A3sg+P3sg+Loc
yenilemeniz	yenile+Verb+Pos^DB+Noun+Inf2+A3sg+P2pl+Nom
kullanmaya	kullan+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Dat
kullanılması	kullan+Verb^DB+Verb+Pass+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom
uzunluğunu	uzun+Adj^DB+Noun+Ness+A3sg+P3sg+Acc
korumasını	koru+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Acc
etkinleştirmeyi	etkin+Adj^DB+Verb+Become^DB+Verb+Caus+Pos^DB+Noun+Inf2+A3sg+Pnon+Acc
kullanımında	kullanım+Noun+A3sg+P3sg+Loc
istenmesini	iste+Verb^DB+Verb+Pass+Pos^DB+Noun+Inf2+A3sg+P3sg+Acc
bilginiz	bilgi+Noun+A3sg+P2pl+Nom
içeriğine	içerik+Noun+A3sg+P3sg+Dat
baktığınızda	bak+Verb+Pos^DB+Noun+PastPart+A3sg+P2pl+Loc
depoda	depo+Noun+A3sg+Pnon+Loc
deponun	depo+Noun+A3sg+Pnon+Gen
depolarda	depo+Noun+A3pl+Pnon+Loc
birleştirildiğinde	birleş+Verb^DB+Verb+Caus^DB+Verb+Pass+Pos^DB+Noun+PastPart+A3sg+P3sg+Loc
depolarını	depo+Noun+A3pl+P3sg+Acc
depolandığını	depola+Verb^DB+Verb+Pass+Pos^DB+Noun+PastPart+A3sg+P3sg+Acc
numaralarını	numara+Noun+A3pl+P3sg+Acc
amaçlarına	amaç+Noun+A3pl+P3pl+Dat
amaçları	amaç+Noun+A3pl+P3pl+Nom
depoları	depo+Noun+A3pl+P3sg+Nom
sertifikalarını	sertifika+Noun+A3pl+P3sg+Acc
kuruluşlardan	kuruluş+Noun+A3pl+Pnon+Abl
sertifikalarına	sertifika+Noun+A3pl+P3sg+Dat
güvenmeye	güven+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Dat
sınırlamaya	sınırla+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Dat
yetkililerine	yetkili+Noun+A3sg+P3pl+Dat
yetkililerinin	yetkili+Noun+A3pl+P3sg+Gen
kategorilerinde	kategori+Noun+A3pl+P3sg+Loc
nesnesinin	nesne+Noun+A3sg+P3sg+Gen
tamamına	tamam+Noun+A3sg+P3sg+Dat
teknolojisi	teknoloji+Noun+A3sg+P3sg+Nom
klasöre	klasör+Noun+A3sg+Pnon+Dat
erişmelerini	eriş+Verb+Pos^DB+Noun+Inf2+A3pl+P3pl+Acc
kullananlar	kullan+Verb+Pos^DB+Adj+PresPart^DB+Noun+Zero+A3pl+Pnon+Nom
küçültmek	küçül+Verb^DB+Verb+Caus+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
dağıttığınızda	dağıt+Verb+Pos^DB+Noun+PastPart+A3sg+P2pl+Loc
planda	plan+Noun+A3sg+Pnon+Loc
sisteminin	sistem+Noun+A3sg+P3sg+Gen
yüklenmesinin	yükle+Verb^DB+Verb+Pass+Pos^DB+Noun+Inf2+A3sg+P3sg+Gen
gerekmesi	gerek+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom
kotaları	kota+Noun+A3pl+P3sg+Nom
konumundan	konum+Noun+A3sg+P3sg+Abl
konumunda	konum+Noun+A3sg+P3sg+Loc
denetleyicisinde	denetle+Verb+Pos^DB+Noun+Agt+A3sg+P3sg+Loc
atamanız	ata+Verb+Pos^DB+Noun+Inf2+A3sg+P2pl+Nom
yayımlamanız	yayımla+Verb+Pos^DB+Noun+Inf2+A3sg+P2pl+Nom
yükselttiğinizde	yüksel+Verb^DB+Verb+Caus+Pos^DB+Noun+PastPart+A3sg+P2pl+Loc
kapsamını	kapsam+Noun+A3sg+P3sg+Acc
üyeliğine	üye+Noun+A3sg+Pnon+Nom^DB+Noun+Ness+A3sg+P3sg+Dat
filtreden	filtre+Noun+A3sg+Pnon+Abl
geçirmekle	geç+Verb^DB+Verb+Caus+Pos^DB+Noun+Inf1+A3sg+Pnon+Ins
etkinleştirmesi	etkin+Adj^DB+Verb+Become^DB+Verb+Caus+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom
açışlarında	aç+Verb+Pos^DB+Noun+Inf3+A3pl+P3sg+Loc
durdurduğunuzda	dur+Verb^DB+Verb+Caus+Pos^DB+Noun+PastPart+A3sg+P2pl+Loc
paylaşımını	paylaşım+Noun+A3sg+P3sg+Acc
güncelleştirmeyle	güncel+Adj^DB+Verb+Become^DB+Verb+Caus+Pos^DB+Noun+Inf2+A3sg+Pnon+Ins
toplulukları	topluluk+Noun+A3pl+P3sg+Nom
kaldırmadığımı	kal+Verb^DB+Verb+Caus+Neg^DB+Noun+PastPart+A3sg+P1sg+Acc
edildiğine	et+Verb^DB+Verb+Pass+Pos^DB+Noun+PastPart+A3sg+P3sg+Dat
süreye	süre+Noun+A3sg+Pnon+Dat
ücreti	ücret+Noun+A3sg+Pnon+Acc
yüklenmesi	yükle+Verb^DB+Verb+Pass+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom
güncelleştirmelerin	güncel+Adj^DB+Verb+Become^DB+Verb+Caus+Pos^DB+Noun+Inf2+A3pl+Pnon+Gen
sayısına	sayı+Noun+A3sg+P3sg+Dat
güncelleştirmeler	güncel+Adj^DB+Verb+Become^DB+Verb+Caus+Pos^DB+Noun+Inf2+A3pl+Pnon+Nom
yüklemelerle	yükle+Verb+Pos^DB+Noun+Inf2+A3pl+Pnon+Ins
durumunuzu	durum+Noun+A3sg+P2pl+Acc
oluşunuzda	ol+Verb+Pos^DB+Noun+Inf3+A3sg+P2pl+Loc
denetlediğinizde	denetle+Verb+Pos^DB+Noun+PastPart+A3sg+P2pl+Loc
yükleyeceğiniz	yükle+Verb+Pos^DB+Noun+FutPart+A3sg+P2pl+Nom
denetlediğinizden	denetle+Verb+Pos^DB+Noun+PastPart+A3sg+P2pl+Abl
değiştirmeniz	değiş+Verb^DB+Verb+Caus+Pos^DB+Noun+Inf2+A3sg+P2pl+Nom
uyguladıktan	uygula+Verb+Pos^DB+Noun+PastPart+A3sg+Pnon+Abl
çalıştıracağı	çalış+Verb^DB+Verb+Caus+Pos^DB+Noun+FutPart+A3sg+P3sg+Nom
belirteci	belirteç+Noun+A3sg+Pnon+Acc
işlevler	işlev+Noun+A3pl+Pnon+Nom
çalışmadığını	çalış+Verb+Neg^DB+Noun+PastPart+A3sg+P3sg+Acc
bellekle	bellek+Noun+A3sg+Pnon+Ins
öğesinin	öğe+Noun+A3sg+P3sg+Gen
işleminde	işlem+Noun+A3sg+P3sg+Loc
sekmesinde	sek+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Loc
araçlarının	araç+Noun+A3pl+P3sg+Gen
araçların	araç+Noun+A3pl+Pnon+Gen
sekmesinden	sek+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Abl
sorulara	soru+Noun+A3pl+Pnon+Dat
yanıtlar	yanıt+Noun+A3pl+Pnon+Nom
belgenin	belge+Noun+A3sg+Pnon+Gen
bilgisayarınızla	bilgisayar+Noun+A3sg+P2pl+Ins
sürümünde	sürüm+Noun+A3sg+P3sg+Loc
güncelleştirileceğini	güncel+Adj^DB+Verb+Become^DB+Verb+Caus^DB+Verb+Pass+Pos^DB+Noun+FutPart+A3sg+P3sg+Acc
çözümlemek	çözümle+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
çubuğundan	çubuk+Noun+A3sg+P3sg+Abl
kenarını	kenar+Noun+A3sg+P3sg+Acc
tablosunu	tablo+Noun+A3sg+P3sg+Acc
yaklaştırmak	yaklaş+Verb^DB+Verb+Caus+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
tablosunda	tablo+Noun+A3sg+P3sg+Loc
telefonda	telefon+Noun+A3sg+Pnon+Loc
adlarının	ad+Noun+A3pl+P3sg+Gen
simgesine	simge+Noun+A3sg+P3sg+Dat
sitesinin	site+Noun+A3sg+P3sg+Gen
sütunlarınızı	sütun+Noun+A3pl+P2pl+Acc
göstermelerini	göster+Verb+Pos^DB+Noun+Inf2+A3sg+P3pl+Acc
kullanıcıyla	kullan+Verb+Pos^DB+Noun+Agt+A3sg+Pnon+Ins
yapabileceğiniz	yap+Verb+Pos^DB+Verb+Able^DB+Noun+FutPart+A3sg+P2pl+Nom
durumuna	durum+Noun+A3sg+P3sg+Dat
tuşlarına	tuş+Noun+A3pl+P3sg+Dat
bölmesini	böl+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Acc
bölmenin	böl+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Gen
imlecine	imleç+Noun+A3sg+P3sg+Dat
dönüştüğünde	dönüş+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Loc
değerlerinin	değer+Noun+A3pl+P3sg+Gen
toplamını	toplam+Noun+A3sg+P3sg+Acc
seçeneğinden	seçenek+Noun+A3sg+P3sg+Abl
yüklemenize	yükle+Verb+Pos^DB+Noun+Inf2+A3sg+P2pl+Dat
parametreyi	parametre+Noun+A3sg+Pnon+Acc
çağıracağını	çağır+Verb+Pos^DB+Noun+FutPart+A3sg+P3sg+Acc
sertifikanız	sertifika+Noun+A3sg+P2pl+Nom
sertifikanızı	sertifika+Noun+A3sg+P2pl+Acc
kullanması	kullan+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom
iletiye	ileti+Noun+A3sg+Pnon+Dat
kimliğinin	kimlik+Noun+A3sg+P3sg+Gen
doğrulanmadığını	doğrula+Verb^DB+Verb+Pass+Neg^DB+Noun+PastPart+A3sg+P3sg+Acc
izinlerinizin	izin+Noun+A3pl+P2pl+Gen
içermesini	içer+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Acc
modlarından	mod+Noun+A3pl+P3sg+Abl
kısayolları	kısayol+Noun+A3pl+Pnon+Acc
bölmeler	böl+Verb+Pos^DB+Noun+Inf2+A3pl+Pnon+Nom
parolaların	parola+Noun+A3pl+Pnon+Gen
ilkelerinin	ilke+Noun+A3pl+P3sg+Gen
saldırılardan	saldırı+Noun+A3pl+Pnon+Abl
korunmasına	koru+Verb^DB+Verb+Pass+Pos^DB+Noun+Inf2+A3sg+P3sg+Dat
programlarınızla	program+Noun+A3pl+P2pl+Ins
kullanmasına	kullan+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Dat
maliyetlerinizi	maliyet+Noun+A3pl+P2pl+Acc
programlarınızı	program+Noun+A3pl+P2pl+Acc
kitaplığınıza	kitap+Noun+A3sg+Pnon+Nom^DB+Noun+Ness+A3sg+P2pl+Dat
havuzlarını	havuz+Noun+A3pl+P3pl+Acc
havuzunun	havuz+Noun+A3sg+P3sg+Gen
havuzda	havuz+Noun+A3sg+Pnon+Loc
oluşturmalarını	oluş+Verb^DB+Verb+Caus+Pos^DB+Noun+Inf2+A3sg+P3pl+Acc
başlama	başla+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom
kapanma	kapa+Verb^DB+Verb+Pass+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom
girmesi	gir+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom
uyaracağını	uyar+Verb+Pos^DB+Noun+FutPart+A3sg+P3sg+Acc
girdikten	gir+Verb+Pos^DB+Noun+PastPart+A3sg+Pnon+Abl
girişine	gir+Verb+Pos^DB+Noun+Inf3+A3sg+P3sg+Dat
anahtarları	anahtar+Noun+A3pl+P3sg+Nom
yedeklemeden	yedekle+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Abl
anahtarlarını	anahtar+Noun+A3pl+P3sg+Acc
kullanıcıdan	kullan+Verb+Pos^DB+Noun+Agt+A3sg+Pnon+Abl
bileşimi	bileşim+Noun+A3sg+P3sg+Nom
sayacın	sayaç+Noun+A3sg+Pnon+Gen
örnekleri	örnek+Noun+A3pl+P3pl+Nom
sınırların	sınır+Noun+A3pl+Pnon+Gen
etkinlikleri	etkin+Adj^DB+Noun+Ness+A3pl+P3pl+Nom
oluşturduktan	oluş+Verb^DB+Verb+Caus+Pos^DB+Noun+PastPart+A3sg+Pnon+Abl
sağlandığında	sağla+Verb^DB+Verb+Pass+Pos^DB+Noun+PastPart+A3sg+P3sg+Loc
alacağı	alacak+Noun+A3sg+P3sg+Nom
nedeniniz	neden+Noun+A3sg+P2pl+Nom
sayaçlar	sayaç+Noun+A3pl+Pnon+Nom
gerçekleştiğini	gerçek+Adj^DB+Verb+Become+Pos^DB+Noun+PastPart+A3sg+P3sg+Acc
olayda	olay+Noun+A3sg+Pnon+Loc
durdurduğunu	dur+Verb^DB+Verb+Caus+Pos^DB+Noun+PastPart+A3sg+P3sg+Acc
vermediğini	ver+Verb+Neg^DB+Noun+PastPart+A3sg+P3sg+Acc
paketinin	paket+Noun+A3sg+P3sg+Gen
sürümlerini	sürüm+Noun+A3pl+P3sg+Acc
istemi	istem+Noun+A3sg+Pnon+Acc
çevirisi	çeviri+Noun+A3sg+P3sg+Nom
eşleştirmeleri	eş+Noun+A3sg+Pnon+Nom^DB+Verb+Become^DB+Verb+Caus+Pos^DB+Noun+Inf2+A3pl+P3pl+Nom
dosyasında	dosya+Noun+A3sg+P3sg+Loc
kodları	kod+Noun+A3pl+P3sg+Nom
noktasıyla	nokta+Noun+A3sg+P3sg+Ins
ilişkilendirildiğinde	ilişki+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Caus^DB+Verb+Pass+Pos^DB+Noun+PastPart+A3sg+P3sg+Loc
yöntemini	yöntem+Noun+A3sg+P3sg+Acc
doğrulamasının	doğrula+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Gen
bildirimden	bildirim+Noun+A3sg+Pnon+Abl
kümesiyle	küme+Noun+A3sg+P3sg+Ins
denemesini	dene+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Acc
ağların	ağ+Noun+A3pl+Pnon+Gen
bağdaştırıcısını	bağdaş+Verb^DB+Verb+Caus+Pos^DB+Noun+Agt+A3sg+P3sg+Acc
bağlanmanız	bağla+Verb^DB+Verb+Pass+Pos^DB+Noun+Inf2+A3sg+P2pl+Nom
konumlarıyla	konum+Noun+A3pl+P3sg+Ins
protokolleri	protokol+Noun+A3pl+P3sg+Nom
yönlendiriciden	yön+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Caus+Pos^DB+Noun+Agt+A3sg+Pnon+Abl
kapsama	kapsa+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom
yönlendiriciye	yön+Noun+A3sg+Pnon+Nom^DB+Verb+Acquire^DB+Verb+Caus+Pos^DB+Noun+Agt+A3sg+Pnon+Dat
işyerinizde	işyeri+Noun+A3sg+P2pl+Loc
girişlerine	gir+Verb+Pos^DB+Noun+Inf3+A3pl+P3sg+Dat
sürecinde	süreç+Noun+A3sg+P3sg+Loc
yapıştırma	yapış+Verb^DB+Verb+Caus+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom
komutuna	komut+Noun+A3sg+P3sg+Dat
düğmeye	düğme+Noun+A3sg+Pnon+Dat
dokunmanız	doku+Verb^DB+Verb+Pass+Pos^DB+Noun+Inf2+A3sg+P2pl+Nom
parmağınızın	parmak+Noun+A3sg+P2pl+Gen
sayfayı	sayfa+Noun+A3sg+Pnon+Acc
öğrenme	öğren+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom
yazınızın	yaz+Noun+A3sg+P2pl+Gen
olanağını	olanak+Noun+A3sg+P3sg+Acc
artırmanıza	art+Verb^DB+Verb+Caus+Pos^DB+Noun+Inf2+A3sg+P2pl+Dat
hareketleri	hareket+Noun+A3pl+Pnon+Acc
notu	not+Noun+A3sg+Pnon+Acc
sildikten	sil+Verb+Pos^DB+Noun+PastPart+A3sg+Pnon+Abl
yönünün	yön+Noun+A3sg+P3sg+Gen
dağılımı	dağılım+Noun+A3sg+P3sg+Nom
unsurun	unsur+Noun+A3sg+Pnon+Gen
örneklerde	örnek+Noun+A3pl+Pnon+Loc
sayıya	sayı+Noun+A3sg+Pnon+Dat
kümesini	küme+Noun+A3sg+P3sg+Acc
dizelerini	dize+Noun+A3pl+P3sg+Acc
dağılıma	dağılım+Noun+A3sg+Pnon+Dat
ortalamasının	ortalama+Noun+A3sg+P3sg+Gen
ettiğinizde	et+Verb+Pos^DB+Noun+PastPart+A3sg+P2pl+Loc
gelebileceği	gel+Verb+Pos^DB+Verb+Able^DB+Noun+FutPart+A3sg+P3sg+Nom
şekilleri	şekil+Noun+A3pl+P3sg+Nom
sayılara	sayı+Noun+A3pl+Pnon+Dat
metinler	metin+Noun+A3pl+Pnon+Nom
basamağa	basamak+Noun+A3sg+Pnon+Dat
hesaplamada	hesapla+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Loc
yönteminin	yöntem+Noun+A3sg+P3sg+Gen
belirteceğiniz	belir+Verb^DB+Verb+Caus+Pos^DB+Noun+FutPart+A3sg+P2pl+Nom
malın	mal+Noun+A3sg+Pnon+Gen
yıpranma	yıpran+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom
yıpranmayı	yıpran+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Acc
etkeni	etken+Noun+A3sg+P3sg+Nom
virgülle	virgül+Noun+A3sg+Pnon+Ins
sitede	site+Noun+A3sg+Pnon+Loc
görevlerinden	görev+Noun+A3pl+P3sg+Abl
sütununuzda	sütun+Noun+A3sg+P2pl+Loc
sütununun	sütun+Noun+A3sg+P3sg+Gen
düzenlemeniz	düzenle+Verb+Pos^DB+Noun+Inf2+A3sg+P2pl+Nom
bilginin	bilgi+Noun+A3sg+Pnon+Gen
yapısında	yapı+Noun+A3sg+P3sg+Loc
eklemeden	ekle+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Abl
hatalar	hata+Noun+A3pl+Pnon+Nom
çözülünceye	çöz+Verb^DB+Verb+Pass+Pos^DB+Adverb+When^DB+Noun+Zero+A3sg+Pnon+Dat
varolanları	varol+Verb+Pos^DB+Adj+PresPart^DB+Noun+Zero+A3pl+Pnon+Acc
girdileri	girdi+Noun+A3pl+P3sg+Nom
kayıtlara	kayıt+Noun+A3pl+Pnon+Dat
girdiyi	girdi+Noun+A3sg+Pnon+Acc
genişliği	geniş+Adj^DB+Noun+Ness+A3sg+P3sg+Nom
konumdan	konum+Noun+A3sg+Pnon+Abl
kaydedileceği	kaydet+Verb^DB+Verb+Pass+Pos^DB+Noun+FutPart+A3sg+P3sg+Nom
ayarına	ayar+Noun+A3sg+P3sg+Dat
filtrelemek	filtrele+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
bilgilerinizle	bilgi+Noun+A3pl+P2pl+Ins
yaptırmak	yap+Verb^DB+Verb+Caus+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
günlüklerden	günlük+Noun+A3pl+Pnon+Abl
değiştiği	değiş+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Nom
bindirme	bin+Verb^DB+Verb+Caus+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom
özelliğinden	özellik+Noun+A3sg+P3sg+Abl
dosyalarına	dosya+Noun+A3pl+P3sg+Dat
verisi	veri+Noun+A3sg+P3sg+Nom
raporların	rapor+Noun+A3pl+Pnon+Gen
depolanma	depola+Verb^DB+Verb+Pass+Pos^DB+Noun+Inf2+A3sg+Pnon+Nom
dizininde	dizin+Noun+A3sg+P3sg+Loc
sınıra	sınır+Noun+A3sg+Pnon+Dat
ulaşıldığında	ulaş+Verb^DB+Verb+Pass+Pos^DB+Noun+PastPart+A3sg+P3sg+Loc
ilkesine	ilke+Noun+A3sg+P3sg+Dat
verilerinden	veri+Noun+A3pl+P3sg+Abl
ölçütlerine	ölçüt+Noun+A3pl+P3sg+Dat
oluşturmayı	oluş+Verb^DB+Verb+Caus+Pos^DB+Noun+Inf2+A3sg+Pnon+Acc
silmeyi	sil+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Acc
ağlara	ağ+Noun+A3pl+Pnon+Dat
bağdaştırıcı	bağdaş+Verb^DB+Verb+Caus+Pos^DB+Noun+Agt+A3sg+Pnon+Nom
taramaya	tara+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Dat
profilinin	profil+Noun+A3sg+P3sg+Gen
önceliğine	önce+Noun+A3sg+Pnon+Nom^DB+Noun+Ness+A3sg+P3sg+Dat
almanın	al+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Gen
emirlerinin	emir+Noun+A3pl+P3sg+Gen
işlenmeleri	işle+Verb^DB+Verb+Pass+Pos^DB+Noun+Inf2+A3pl+P3sg+Nom
işlemlerinin	işlem+Noun+A3pl+P3sg+Gen
yüklerinin	yük+Noun+A3pl+P3sg+Gen
sütunlarına	sütun+Noun+A3pl+P3sg+Dat
görünüme	görünüm+Noun+A3sg+Pnon+Dat
sütununa	sütun+Noun+A3sg+P3sg+Dat
satıra	satır+Noun+A3sg+Pnon+Dat
özellikte	özellik+Noun+A3sg+Pnon+Loc
kullanılabilmesi	kullan+Verb^DB+Verb+Pass+Pos^DB+Verb+Able^DB+Noun+Inf2+A3sg+P3sg+Nom
satırına	satır+Noun+A3sg+P3sg+Dat
satırdan	satır+Noun+A3sg+Pnon+Abl
görüntülendiğinde	görüntüle+Verb^DB+Verb+Pass+Pos^DB+Noun+PastPart+A3sg+P3sg+Loc
eklere	ek+Noun+A3pl+Pnon+Dat
belgeye	belge+Noun+A3sg+Pnon+Dat
bıraktığınızda	bırak+Verb+Pos^DB+Noun+PastPart+A3sg+P2pl+Loc
hücrelere	hücre+Noun+A3pl+Pnon+Dat
tutamacı	tutamaç+Noun+A3sg+P3sg+Nom
serisi	seri+Noun+A3sg+P3sg+Nom
notlarda	not+Noun+A3pl+Pnon+Loc
imlecini	imleç+Noun+A3sg+P3sg+Acc
gördüğünüzde	gör+Verb+Pos^DB+Noun+PastPart+A3sg+P2pl+Loc
doldurmak	dol+Verb^DB+Verb+Caus+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
desteğini	destek+Noun+A3sg+P3sg+Acc
basitten	basit+Adj^DB+Noun+Zero+A3sg+Pnon+Abl
karmaşığa	karmaşık+Adj^DB+Noun+Zero+A3sg+Pnon+Dat
formüllerde	formül+Noun+A3pl+Pnon+Loc
sütunlara	sütun+Noun+A3pl+Pnon+Dat
işlevin	işlev+Noun+A3sg+Pnon+Gen
bulunmadığında	bul+Verb^DB+Verb+Pass+Neg^DB+Noun+PastPart+A3sg+P3sg+Loc
filtrelere	filtre+Noun+A3pl+Pnon+Dat
azaltmak	azal+Verb^DB+Verb+Caus+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
filtreler	filtre+Noun+A3pl+Pnon+Nom
satırlarını	satır+Noun+A3pl+P3sg+Acc
görüntülemesini	görüntüle+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Acc
düzenlemesini	düzenle+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Acc
oluşturduğundan	oluş+Verb^DB+Verb+Caus+Pos^DB+Noun+PastPart+A3sg+P3sg+Abl
görebileceği	gör+Verb+Pos^DB+Verb+Able^DB+Noun+FutPart+A3sg+P3sg+Nom
düzenleyebileceği	düzenle+Verb+Pos^DB+Verb+Able^DB+Noun+FutPart+A3sg+P3sg+Nom
senaryoda	senaryo+Noun+A3sg+Pnon+Loc
okumalarına	oku+Verb+Pos^DB+Noun+Inf2+A3sg+P3pl+Dat
düzenlemelerine	düzenle+Verb+Pos^DB+Noun+Inf2+A3sg+P3pl+Dat
dizini	dizin+Noun+A3sg+P3sg+Nom
kapattığında	kapa+Verb^DB+Verb+Caus+Pos^DB+Noun+PastPart+A3sg+P3sg+Loc
denetleyicisinin	denetle+Verb+Pos^DB+Noun+Agt+A3sg+P3sg+Gen
hizmetlerinde	hizmet+Noun+A3pl+P3sg+Loc
yazıcılarını	yaz+Verb+Pos^DB+Noun+Agt+A3pl+P3pl+Acc
çalıştırdığınızda	çalış+Verb^DB+Verb+Caus+Pos^DB+Noun+PastPart+A3sg+P2pl+Loc
risklerine	risk+Noun+A3pl+P3sg+Dat
sitesini	site+Noun+A3sg+P3sg+Acc
ekini	ek+Noun+A3sg+P3sg+Acc
sisteme	sistem+Noun+A3sg+Pnon+Dat
sitesi	site+Noun+A3sg+P3sg+Nom
eki	ek+Noun+A3sg+Pnon+Acc
diskinizi	disk+Noun+A3sg+P2pl+Acc
erişimine	erişim+Noun+A3sg+P3sg+Dat
olmayacağından	ol+Verb+Neg^DB+Noun+FutPart+A3sg+P2sg+Abl
edinmesine	edin+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Dat
personele	personel+Noun+A3sg+Pnon+Dat
gereksinimlerine	gereksinim+Noun+A3pl+P3sg+Dat
adımlarda	adım+Noun+A3pl+Pnon+Loc
özelliğin	özellik+Noun+A3sg+Pnon+Gen
başarısızlıklarının	başarı+Noun+A3sg+Pnon+Nom^DB+Adj+Without^DB+Noun+Ness+A3pl+P3sg+Gen
kurmada	kur+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Loc
artmadığını	art+Verb+Neg^DB+Noun+PastPart+A3sg+P3sg+Acc
istatistiklere	istatistik+Noun+A3pl+Pnon+Dat
ayarlarınızda	ayar+Noun+A3pl+P2pl+Loc
anahtarların	anahtar+Noun+A3pl+Pnon+Gen
kullanımı	kullanım+Noun+A3sg+P3sg+Nom
eklemesi	ekle+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom
çözümlemesi	çözümle+Verb+Pos^DB+Noun+Inf2+A3sg+P3sg+Nom
sorgusu	sorgu+Noun+A3sg+P3sg+Nom
ayarının	ayar+Noun+A3sg+P3sg+Gen
düzenlemelerini	düzenle+Verb+Pos^DB+Noun+Inf2+A3pl+P3pl+Acc
kısıtlamak	kısıtla+Verb+Pos^DB+Noun+Inf1+A3sg+Pnon+Nom
uygulamadan	uygula+Verb+Pos^DB+Noun+Inf2+A3sg+Pnon+Abl
menüyü	menü+Noun+A3sg+Pnon+Acc
noktalarının	nokta+Noun+A3pl+P3sg+Gen
ortalamalarından	ortala+Verb+Pos^DB+Noun+Inf2+A3sg+P3pl+Abl
sapmalarının	sap+Verb+Pos^DB+Noun+Inf2+A3pl+P3sg+Gen
kareleri	kare+Noun+A3pl+P3sg+Nom
başvurusu	başvuru+Noun+A3sg+P3sg+Nom
sandığında	san+Verb+Pos^DB+Noun+PastPart+A3sg+P3sg+Loc
erişildiğinde	eriş+Verb^DB+Verb+Pass+Pos^DB+Noun+PastPart+A3sg+P3sg+Loc
üslerini	üs+Noun+A3pl+P3sg+Acc
dağılımını	dağılım+Noun+A3sg+P3sg+Acc
liseye	lise+Noun+A3sg+Pnon+Dat
